iter	Passed	Remaining
0	188	111484
1	459	135648
2	640	125812
3	833	122470
4	1023	120176
5	1218	119045
6	1392	116411
7	1576	115100
8	1751	113452
9	1901	110668
10	2032	107342
11	2172	105006
12	2307	102751
13	2436	100573
14	2580	99244
15	2732	98369
16	2877	97337
17	3024	96439
18	3171	95637
19	3321	94995
20	3486	94805
21	3640	94320
22	3789	93744
23	3951	93508
24	4163	94418
25	4379	95335
26	4582	95898
27	4786	96411
28	5054	98135
29	5281	98931
30	5468	98960
31	5657	99014
32	5869	99425
33	6085	99873
34	6265	99709
35	6447	99581
36	6619	99291
37	6791	99018
38	6967	98793
39	7155	98749
40	7343	98686
41	7483	97991
42	7613	97199
43	7749	96512
44	7890	95914
45	8034	95362
46	8178	94834
47	8321	94312
48	8469	93860
49	8650	93772
50	8806	93422
51	8955	92997
52	9105	92599
53	9254	92207
54	9398	91759
55	9544	91355
56	9747	91490
57	9950	91614
58	10138	91587
59	10315	91464
60	10492	91338
61	10684	91332
62	10819	90846
63	10962	90438
64	11097	89977
65	11227	89479
66	11360	89019
67	11500	88624
68	11636	88201
69	11777	87825
70	11919	87466
71	12059	87095
72	12195	86706
73	12340	86383
74	12479	86026
75	12618	85675
76	12754	85308
77	12900	85013
78	13041	84685
79	13180	84357
80	13321	84037
81	13459	83714
82	13603	83424
83	13742	83111
84	13885	82824
85	14026	82526
86	14201	82432
87	14384	82381
88	14569	82344
89	14823	82680
90	15037	82787
91	15233	82790
92	15424	82759
93	15604	82668
94	15794	82628
95	15966	82494
96	16140	82367
97	16313	82233
98	16478	82059
99	16613	81737
100	16741	81385
101	16878	81080
102	17020	80804
103	17164	80540
104	17310	80287
105	17463	80067
106	17609	79819
107	17812	79826
108	18002	79772
109	18193	79719
110	18387	79679
111	18571	79591
112	18749	79477
113	18940	79418
114	19125	79329
115	19303	79211
116	19490	79128
117	19675	79036
118	19848	78892
119	20028	78779
120	20210	78671
121	20400	78592
122	20612	78595
123	20821	78583
124	21024	78549
125	21319	78848
126	21552	78912
127	21755	78863
128	21952	78790
129	22139	78679
130	22341	78619
131	22540	78550
132	22727	78434
133	22905	78287
134	23089	78161
135	23281	78061
136	23455	77898
137	23643	77785
138	23839	77692
139	24027	77573
140	24225	77487
141	24404	77338
142	24576	77167
143	24743	76980
144	24912	76798
145	25083	76623
146	25266	76487
147	25446	76338
148	25633	76211
149	25817	76074
150	26004	75947
151	26145	75685
152	26291	75438
153	26425	75159
154	26566	74901
155	26713	74661
156	26860	74422
157	27015	74206
158	27164	73975
159	27367	73891
160	27575	73818
161	27766	73701
162	27964	73600
163	28149	73464
164	28324	73299
165	28505	73152
166	28676	72979
167	28844	72798
168	29014	72622
169	29188	72455
170	29368	72304
171	29547	72150
172	29687	71900
173	29830	71661
174	29969	71412
175	30121	71197
176	30291	71021
177	30464	70856
178	30613	70632
179	30792	70480
180	30984	70356
181	31175	70230
182	31361	70092
183	31557	69975
184	31736	69820
185	31909	69652
186	32038	69387
187	32166	69124
188	32304	68881
189	32446	68649
190	32589	68421
191	32734	68196
192	32882	67979
193	33054	67813
194	33246	67686
195	33442	67566
196	33625	67421
197	33813	67285
198	33995	67136
199	34167	66967
200	34342	66805
201	34511	66631
202	34674	66445
203	34843	66271
204	35016	66105
205	35189	65936
206	35321	65694
207	35453	65452
208	35586	65214
209	35725	64986
210	35868	64767
211	36008	64543
212	36151	64325
213	36299	64116
214	36541	64075
215	36763	63995
216	36964	63879
217	37151	63736
218	37352	63618
219	37559	63510
220	37746	63365
221	37927	63212
222	38106	63055
223	38301	62924
224	38490	62782
225	38674	62632
226	38875	62508
227	39061	62361
228	39238	62199
229	39417	62039
230	39591	61872
231	39760	61697
232	39923	61512
233	40060	61288
234	40203	61074
235	40340	60853
236	40487	60645
237	40635	60440
238	40777	60228
239	40924	60022
240	41094	59851
241	41291	59718
242	41505	59611
243	41718	59500
244	41899	59343
245	42095	59206
246	42286	59064
247	42460	58896
248	42632	58726
249	42891	58675
250	43078	58525
251	43268	58378
252	43474	58251
253	43699	58150
254	43894	58009
255	44073	57845
256	44269	57705
257	44448	57541
258	44640	57395
259	44823	57236
260	45001	57070
261	45183	56911
262	45372	56759
263	45564	56610
264	45758	56463
265	45970	56339
266	46184	56216
267	46414	56112
268	46682	56053
269	46876	55905
270	47075	55760
271	47278	55621
272	47492	55494
273	47699	55358
274	47898	55213
275	48103	55074
276	48293	54918
277	48480	54758
278	48676	54608
279	48869	54454
280	49070	54309
281	49255	54146
282	49436	53978
283	49635	53829
284	49818	53663
285	50030	53529
286	50245	53396
287	50452	53255
288	50681	53136
289	50889	52995
290	51099	52855
291	51277	52682
292	51469	52522
