dataset,pooling_strategy,accuracy,accuracy_std,macro_f1,macro_f1_std,roc_auc,roc_auc_std,n_samples,n_features_original,n_features_pca
crlm,avg,0.3758333333333333,0.10476163419878481,0.3487150757738993,0.11870275227886751,0.40580357142857143,0.12236052555577602,77,384,60
desmoid,avg,0.6557317073170731,0.057150250222859016,0.537177269668233,0.08505647983237165,0.6700325600325601,0.06715136902287708,203,384,161
gist,avg,0.556734693877551,0.04686595949194227,0.5553506499254717,0.04632446623830729,0.5946866666666667,0.0660164410498543,246,384,195
lipo,avg,0.5913043478260869,0.05217391304347827,0.5864978354978355,0.051215105586787144,0.6037878787878789,0.07849596270902193,115,384,91
liver,avg,0.580512091038407,0.06372688477951634,0.5699209772655878,0.0539207128086393,0.5769621421975993,0.06019727765637188,186,384,147
melanoma,avg,0.6095238095238095,0.12974770564515353,0.6001398601398601,0.13175965468975412,0.6550909090909091,0.171878152112343,103,384,81
crlm,multiscale,0.6508333333333334,0.0702376916856849,0.6172771088560562,0.09120294469694229,0.640625,0.1071242543374139,77,28032,60
desmoid,multiscale,0.7141463414634147,0.021229322094623377,0.6391673508483854,0.04813986196383975,0.6927309727309727,0.05240078222849169,203,28032,161
gist,multiscale,0.6177959183673469,0.03590871855559418,0.6157623967826125,0.03499698995754362,0.6692866666666667,0.042432061253517034,246,28032,195
lipo,multiscale,0.5652173913043479,0.06735623210795509,0.5571494939504092,0.07233581621158612,0.6083333333333333,0.08290523648669369,115,28032,91
liver,multiscale,0.5537695590327169,0.040091597218019276,0.542568661967711,0.04452971297073793,0.5739458294859956,0.04201822561762332,186,28032,147
melanoma,multiscale,0.5247619047619048,0.059506664197384034,0.5185786435786436,0.06284474228958474,0.558,0.07255752918424328,103,28032,81
crlm,percentile,0.49416666666666675,0.07947746011710909,0.479656862745098,0.08737513691052952,0.4924107142857143,0.1375956300104011,77,1920,60
desmoid,percentile,0.6699999999999999,0.02416481185658699,0.5589892664909633,0.027789409573168476,0.7069637769637769,0.05248683686955176,203,1920,161
gist,percentile,0.6418775510204082,0.051342720698878186,0.6408071753094102,0.0522435845750821,0.71028,0.07456035765293333,246,1920,195
lipo,percentile,0.6173913043478262,0.050703929520393924,0.6035299008983219,0.05233316773407519,0.6454545454545454,0.13838153430213396,115,1920,91
liver,percentile,0.5856330014224751,0.07144111273661921,0.5821263050674815,0.07156802822785162,0.6188057863958141,0.10991220268945617,186,1920,147
melanoma,percentile,0.6109523809523809,0.10239313327316729,0.6027750910640937,0.10653981585037152,0.6503636363636363,0.1486140934108558,103,1920,81
